target_escalation_rate,domain,accuracy,n,escalation_rate
0.05,chat,0.6055124892334195,1161,0.06890611541774333
0.05,code,0.5428849902534113,2052,0.07163742690058479
0.05,math,0.630119722747322,4761,0.13106490233144297
0.05,safety-refuse,0.9151017214397497,2556,0.10328638497652583
0.05,safety-response,0.8170212765957446,1410,0.17163120567375886
0.1,chat,0.6141257536606374,1161,0.1326442721791559
0.1,code,0.6081871345029239,2052,0.3562378167641326
0.1,math,0.6469229153539172,4761,0.18315479941188825
0.1,safety-refuse,0.9143192488262911,2556,0.1267605633802817
0.1,safety-response,0.8198581560283688,1410,0.12198581560283688
0.15,chat,0.6339362618432386,1161,0.2954349698535745
0.15,code,0.5857699805068226,2052,0.23391812865497075
0.15,math,0.6366309598823776,4761,0.20583910943079184
0.15,safety-refuse,0.92018779342723,2556,0.25
0.15,safety-response,0.8163120567375887,1410,0.31631205673758866
0.2,chat,0.6399655469422911,1161,0.3023255813953488
0.2,code,0.5886939571150097,2052,0.24463937621832357
0.2,math,0.6899810964083176,4761,0.27137156059651335
0.2,safety-refuse,0.9241001564945227,2556,0.33098591549295775
0.2,safety-response,0.8212765957446808,1410,0.2843971631205674
0.25,chat,0.6425495262704565,1161,0.33161068044788977
0.25,code,0.6159844054580896,2052,0.3757309941520468
0.25,math,0.7691661415668977,4761,0.4721697122453266
0.25,safety-refuse,0.9147104851330203,2556,0.3051643192488263
0.25,safety-response,0.8163120567375887,1410,0.37872340425531914
