target_escalation_rate,domain,accuracy,n
0.05,chat,0.6055124892334195,1161
0.05,code,0.5428849902534113,2052
0.05,math,0.630119722747322,4761
0.05,safety-refuse,0.9151017214397497,2556
0.05,safety-response,0.8170212765957446,1410
0.1,chat,0.6141257536606374,1161
0.1,code,0.6081871345029239,2052
0.1,math,0.6469229153539172,4761
0.1,safety-refuse,0.9143192488262911,2556
0.1,safety-response,0.8198581560283688,1410
0.15,chat,0.6339362618432386,1161
0.15,code,0.5857699805068226,2052
0.15,math,0.6366309598823776,4761
0.15,safety-refuse,0.92018779342723,2556
0.15,safety-response,0.8163120567375887,1410
0.2,chat,0.6399655469422911,1161
0.2,code,0.5886939571150097,2052
0.2,math,0.6899810964083176,4761
0.2,safety-refuse,0.9241001564945227,2556
0.2,safety-response,0.8212765957446808,1410
0.25,chat,0.6425495262704565,1161
0.25,code,0.6159844054580896,2052
0.25,math,0.7691661415668977,4761
0.25,safety-refuse,0.9147104851330203,2556
0.25,safety-response,0.8163120567375887,1410
