target_escalation_rate,domain,escalation_rate,n
0.05,chat,0.06890611541774333,1161
0.05,code,0.07163742690058479,2052
0.05,math,0.13106490233144297,4761
0.05,safety-refuse,0.10328638497652583,2556
0.05,safety-response,0.17163120567375886,1410
0.1,chat,0.1326442721791559,1161
0.1,code,0.3562378167641326,2052
0.1,math,0.18315479941188825,4761
0.1,safety-refuse,0.1267605633802817,2556
0.1,safety-response,0.12198581560283688,1410
0.15,chat,0.2954349698535745,1161
0.15,code,0.23391812865497075,2052
0.15,math,0.20583910943079184,4761
0.15,safety-refuse,0.25,2556
0.15,safety-response,0.31631205673758866,1410
0.2,chat,0.3023255813953488,1161
0.2,code,0.24463937621832357,2052
0.2,math,0.27137156059651335,4761
0.2,safety-refuse,0.33098591549295775,2556
0.2,safety-response,0.2843971631205674,1410
0.25,chat,0.33161068044788977,1161
0.25,code,0.3757309941520468,2052
0.25,math,0.4721697122453266,4761
0.25,safety-refuse,0.3051643192488263,2556
0.25,safety-response,0.37872340425531914,1410
