target_escalation_rate,domain,easy,normal,hard,style_gap(easy-hard)
0.05,chat,0.9431524547803618,0.7105943152454781,0.1627906976744186,0.7803617571059432
0.05,code,0.827485380116959,0.530701754385965,0.2704678362573099,0.5570175438596492
0.05,math,0.8349086326402017,0.6288594833018273,0.426591052299937,0.40831758034026466
0.05,safety-refuse,0.943661971830986,0.9131455399061034,0.8884976525821596,0.055164319248826366
0.05,safety-response,0.9551962545593118,0.9084599052751919,0.5881104033970276,0.3670858511622842
0.1,chat,0.937984496124031,0.7157622739018089,0.18863049095607234,0.7493540051679587
0.1,code,0.8114035087719298,0.5745614035087719,0.43859649122807015,0.37280701754385964
0.1,math,0.8399495904221803,0.6231884057971014,0.47763074984247006,0.36231884057971026
0.1,safety-refuse,0.948356807511737,0.914319248826291,0.880281690140845,0.068075117370892
0.1,safety-response,0.9530731123087811,0.9105830475257227,0.5966029723991507,0.3564701399096304
0.15,chat,0.937984496124031,0.7286821705426357,0.23514211886304912,0.7028423772609819
0.15,code,0.8318713450292398,0.587719298245614,0.3377192982456141,0.4941520467836257
0.15,math,0.8500315059861373,0.6641461877756774,0.39571518588531823,0.45431632010081907
0.15,safety-refuse,0.9518779342723005,0.9225352112676056,0.886150234741784,0.06572769953051649
0.15,safety-response,0.9423621318525778,0.9063503729108825,0.6008492569002123,0.3415128749523655
0.2,chat,0.9405684754521965,0.7467700258397935,0.2325581395348837,0.7080103359173128
0.2,code,0.8070175438596493,0.6052631578947368,0.3538011695906433,0.453216374269006
0.2,math,0.8519218651543793,0.6603654694391935,0.55765595463138,0.29426591052299933
0.2,safety-refuse,0.9577464788732394,0.9330985915492956,0.8814553990610329,0.07629107981220651
0.2,safety-response,0.9509091403995863,0.9126925798900322,0.6008492569002123,0.350059883499374
0.25,chat,0.9431524547803618,0.7390180878552971,0.2454780361757106,0.6976744186046512
0.25,code,0.814327485380117,0.6023391812865497,0.43128654970760233,0.3830409356725147
0.25,math,0.867044738500315,0.757403906742281,0.6830497794580971,0.18399495904221796
0.25,safety-refuse,0.9471830985915494,0.9178403755868544,0.8791079812206574,0.068075117370892
0.25,safety-response,0.9530595024225598,0.9020496488649355,0.5944798301486199,0.35857967227393983
