target_escalation_rate,domain,accuracy,n,actual_escalation_rate,escalation_rate
0.0,chat,0.7364341085271318,1161,0.0,0.0
0.0,code,0.5399610136452242,2052,0.0,0.0
0.0,math,0.612056290695232,4761,0.0,0.0
0.0,safety-refuse,0.9823943661971831,2556,0.0,0.0
0.0,safety-response,0.8808510638297873,1410,0.0,0.0
0.05,chat,0.6770025839793282,1161,0.24031007751937986,0.24031007751937986
0.05,code,0.6062378167641326,2052,0.12524366471734893,0.12524366471734893
0.05,math,0.6336904011762234,4761,0.08800672127704263,0.08800672127704263
0.05,safety-refuse,0.9334898278560251,2556,0.033646322378716745,0.033646322378716745
0.05,safety-response,0.8333333333333334,1410,0.0673758865248227,0.0673758865248227
0.1,chat,0.7045650301464255,1161,0.28251507321274766,0.28251507321274766
0.1,code,0.746588693957115,2052,0.3313840155945419,0.3313840155945419
0.1,math,0.722117202268431,4761,0.18924595673177905,0.18924595673177905
0.1,safety-refuse,0.9432707355242567,2556,0.04538341158059468,0.04538341158059468
0.1,safety-response,0.8312056737588652,1410,0.06453900709219858,0.06453900709219858
0.15,chat,0.726959517657192,1161,0.3324720068906115,0.3324720068906115
0.15,code,0.7456140350877193,2052,0.3357699805068226,0.3357699805068226
0.15,math,0.794580970384373,4761,0.28418399495904223,0.28418399495904223
0.15,safety-refuse,0.951095461658842,2556,0.05555555555555555,0.05555555555555555
0.15,safety-response,0.8439716312056738,1410,0.08936170212765958,0.08936170212765958
0.2,chat,0.7527993109388458,1161,0.4160206718346253,0.4160206718346253
0.2,code,0.7977582846003899,2052,0.45077972709551656,0.45077972709551656
0.2,math,0.9050619617727368,4761,0.5024154589371981,0.5024154589371981
0.2,safety-refuse,0.9593114241001565,2556,0.08176838810641628,0.08176838810641628
0.2,safety-response,0.8539007092198582,1410,0.12482269503546099,0.12482269503546099
0.25,chat,0.7467700258397932,1161,0.42291128337639966,0.42291128337639966
0.25,code,0.8187134502923976,2052,0.4834307992202729,0.4834307992202729
0.25,math,0.8769166141566898,4761,0.4501155219491703,0.4501155219491703
0.25,safety-refuse,0.9663536776212832,2556,0.09115805946791862,0.09115805946791862
0.25,safety-response,0.8588652482269503,1410,0.13687943262411348,0.13687943262411348
1.0,chat,0.7295434969853575,1161,1.0,1.0
1.0,code,0.719785575048733,2052,1.0,1.0
1.0,math,0.9161940768746062,4761,1.0,1.0
1.0,safety-refuse,0.9687010954616588,2556,1.0,1.0
1.0,safety-response,0.8326241134751773,1410,1.0,1.0
