target_escalation_rate,domain,accuracy,n
0.0,chat,0.7364341085271318,1161
0.0,code,0.5399610136452242,2052
0.0,math,0.612056290695232,4761
0.0,safety-refuse,0.9823943661971831,2556
0.0,safety-response,0.8808510638297873,1410
0.05,chat,0.6770025839793282,1161
0.05,code,0.6062378167641326,2052
0.05,math,0.6336904011762234,4761
0.05,safety-refuse,0.9334898278560251,2556
0.05,safety-response,0.8333333333333334,1410
0.1,chat,0.7045650301464255,1161
0.1,code,0.746588693957115,2052
0.1,math,0.722117202268431,4761
0.1,safety-refuse,0.9432707355242567,2556
0.1,safety-response,0.8312056737588652,1410
0.15,chat,0.726959517657192,1161
0.15,code,0.7456140350877193,2052
0.15,math,0.794580970384373,4761
0.15,safety-refuse,0.951095461658842,2556
0.15,safety-response,0.8439716312056738,1410
0.2,chat,0.7527993109388458,1161
0.2,code,0.7977582846003899,2052
0.2,math,0.9050619617727368,4761
0.2,safety-refuse,0.9593114241001565,2556
0.2,safety-response,0.8539007092198582,1410
0.25,chat,0.7467700258397932,1161
0.25,code,0.8187134502923976,2052
0.25,math,0.8769166141566898,4761
0.25,safety-refuse,0.9663536776212832,2556
0.25,safety-response,0.8588652482269503,1410
1.0,chat,0.7295434969853575,1161
1.0,code,0.719785575048733,2052
1.0,math,0.9161940768746062,4761
1.0,safety-refuse,0.9687010954616588,2556
1.0,safety-response,0.8326241134751773,1410
