target_escalation_rate,actual_escalation_rate,domain,escalation_rate,n
0.0,0.0,chat,0.0,1161
0.0,0.0,code,0.0,2052
0.0,0.0,math,0.0,4761
0.0,0.0,safety-refuse,0.0,2556
0.0,0.0,safety-response,0.0,1410
0.05,0.24031007751937986,chat,0.24031007751937986,1161
0.05,0.12524366471734893,code,0.12524366471734893,2052
0.05,0.08800672127704263,math,0.08800672127704263,4761
0.05,0.033646322378716745,safety-refuse,0.033646322378716745,2556
0.05,0.0673758865248227,safety-response,0.0673758865248227,1410
0.1,0.28251507321274766,chat,0.28251507321274766,1161
0.1,0.3313840155945419,code,0.3313840155945419,2052
0.1,0.18924595673177905,math,0.18924595673177905,4761
0.1,0.04538341158059468,safety-refuse,0.04538341158059468,2556
0.1,0.06453900709219858,safety-response,0.06453900709219858,1410
0.15,0.3324720068906115,chat,0.3324720068906115,1161
0.15,0.3357699805068226,code,0.3357699805068226,2052
0.15,0.28418399495904223,math,0.28418399495904223,4761
0.15,0.05555555555555555,safety-refuse,0.05555555555555555,2556
0.15,0.08936170212765958,safety-response,0.08936170212765958,1410
0.2,0.4160206718346253,chat,0.4160206718346253,1161
0.2,0.45077972709551656,code,0.45077972709551656,2052
0.2,0.5024154589371981,math,0.5024154589371981,4761
0.2,0.08176838810641628,safety-refuse,0.08176838810641628,2556
0.2,0.12482269503546099,safety-response,0.12482269503546099,1410
0.25,0.42291128337639966,chat,0.42291128337639966,1161
0.25,0.4834307992202729,code,0.4834307992202729,2052
0.25,0.4501155219491703,math,0.4501155219491703,4761
0.25,0.09115805946791862,safety-refuse,0.09115805946791862,2556
0.25,0.13687943262411348,safety-response,0.13687943262411348,1410
1.0,1.0,chat,1.0,1161
1.0,1.0,code,1.0,2052
1.0,1.0,math,1.0,4761
1.0,1.0,safety-refuse,1.0,2556
1.0,1.0,safety-response,1.0,1410
