target_escalation_rate,domain,accuracy,n,escalation_rate
0.05,chat,0.6683893195521102,1161,0.2239448751076658
0.05,code,0.5721247563352827,2052,0.08187134502923976
0.05,math,0.5969334173492964,4761,0.0449485402226423
0.05,safety-refuse,0.9268388106416275,2556,0.025821596244131457
0.05,safety-response,0.8312056737588652,1410,0.0574468085106383
0.1,chat,0.7149009474590869,1161,0.2988802756244617
0.1,code,0.6881091617933723,2052,0.2524366471734893
0.1,math,0.7231674018063432,4761,0.18966603654694392
0.1,safety-refuse,0.9518779342723005,2556,0.05712050078247261
0.1,safety-response,0.8453900709219858,1410,0.1
0.15,chat,0.7622739018087855,1161,0.4108527131782946
0.15,code,0.8133528265107213,2052,0.5063352826510721
0.15,math,0.9143037177063642,4761,0.6181474480151229
0.15,safety-refuse,0.9706572769953051,2556,0.14906103286384975
0.15,safety-response,0.8687943262411347,1410,0.22695035460992907
0.2,chat,0.7639965546942291,1161,0.48320413436692505
0.2,code,0.8172514619883041,2052,0.5974658869395711
0.2,math,0.9243856332703214,4761,0.6731779038017224
0.2,safety-refuse,0.9745696400625978,2556,0.14788732394366197
0.2,safety-response,0.8695035460992908,1410,0.24893617021276596
0.25,chat,0.7657192075796727,1161,0.48751076658053405
0.25,code,0.817738791423002,2052,0.5916179337231969
0.25,math,0.9248057130854862,4761,0.6649863474060071
0.25,safety-refuse,0.974960876369327,2556,0.14358372456964005
0.25,safety-response,0.8695035460992908,1410,0.2531914893617021
