target_escalation_rate,domain,accuracy,n
0.05,chat,0.6683893195521102,1161
0.05,code,0.5721247563352827,2052
0.05,math,0.5969334173492964,4761
0.05,safety-refuse,0.9268388106416275,2556
0.05,safety-response,0.8312056737588652,1410
0.1,chat,0.7149009474590869,1161
0.1,code,0.6881091617933723,2052
0.1,math,0.7231674018063432,4761
0.1,safety-refuse,0.9518779342723005,2556
0.1,safety-response,0.8453900709219858,1410
0.15,chat,0.7622739018087855,1161
0.15,code,0.8133528265107213,2052
0.15,math,0.9143037177063642,4761
0.15,safety-refuse,0.9706572769953051,2556
0.15,safety-response,0.8687943262411347,1410
0.2,chat,0.7639965546942291,1161
0.2,code,0.8172514619883041,2052
0.2,math,0.9243856332703214,4761
0.2,safety-refuse,0.9745696400625978,2556
0.2,safety-response,0.8695035460992908,1410
0.25,chat,0.7657192075796727,1161
0.25,code,0.817738791423002,2052
0.25,math,0.9248057130854862,4761
0.25,safety-refuse,0.974960876369327,2556
0.25,safety-response,0.8695035460992908,1410
