target_escalation_rate,domain,escalation_rate,n
0.05,chat,0.2239448751076658,1161
0.05,code,0.08187134502923976,2052
0.05,math,0.0449485402226423,4761
0.05,safety-refuse,0.025821596244131457,2556
0.05,safety-response,0.0574468085106383,1410
0.1,chat,0.2988802756244617,1161
0.1,code,0.2524366471734893,2052
0.1,math,0.18966603654694392,4761
0.1,safety-refuse,0.05712050078247261,2556
0.1,safety-response,0.1,1410
0.15,chat,0.4108527131782946,1161
0.15,code,0.5063352826510721,2052
0.15,math,0.6181474480151229,4761
0.15,safety-refuse,0.14906103286384975,2556
0.15,safety-response,0.22695035460992907,1410
0.2,chat,0.48320413436692505,1161
0.2,code,0.5974658869395711,2052
0.2,math,0.6731779038017224,4761
0.2,safety-refuse,0.14788732394366197,2556
0.2,safety-response,0.24893617021276596,1410
0.25,chat,0.48751076658053405,1161
0.25,code,0.5916179337231969,2052
0.25,math,0.6649863474060071,4761
0.25,safety-refuse,0.14358372456964005,2556
0.25,safety-response,0.2531914893617021,1410
