target_escalation_rate,domain,easy,normal,hard,style_gap(easy-hard)
0.05,chat,0.9431524547803618,0.7131782945736435,0.3488372093023256,0.5943152454780363
0.05,code,0.8333333333333334,0.5175438596491228,0.3654970760233918,0.46783625730994155
0.05,math,0.8292375551354757,0.5727788279773157,0.3887838689350977,0.440453686200378
0.05,safety-refuse,0.954225352112676,0.92018779342723,0.9061032863849765,0.0481220657276995
0.05,safety-response,0.9658527954706299,0.9190892264140672,0.6093418259023354,0.3565109695682944
0.1,chat,0.958656330749354,0.7493540051679587,0.43669250645994834,0.5219638242894056
0.1,code,0.8581871345029239,0.6184210526315789,0.587719298245614,0.27046783625730997
0.1,math,0.8626339004410838,0.6502835538752363,0.6565847511027095,0.20604914933837426
0.1,safety-refuse,0.9765258215962441,0.937793427230047,0.9413145539906104,0.035211267605633756
0.1,safety-response,0.9658527954706299,0.9254858729381022,0.6454352441613588,0.3204175513092711
0.15,chat,0.9689922480620154,0.8372093023255814,0.48062015503875966,0.4883720930232558
0.15,code,0.915204678362573,0.793859649122807,0.7309941520467836,0.18421052631578938
0.15,math,0.9565217391304347,0.8998109640831758,0.886578449905482,0.06994328922495274
0.15,safety-refuse,0.9906103286384976,0.965962441314554,0.9553990610328639,0.035211267605633756
0.15,safety-response,0.9701262997441341,0.938224726441287,0.6985138004246284,0.2716124993195057
0.2,chat,0.9715762273901808,0.8475452196382429,0.4728682170542635,0.4987080103359173
0.2,code,0.912280701754386,0.8099415204678362,0.72953216374269,0.182748538011696
0.2,math,0.9590422180214241,0.9250157529930686,0.8890989287964713,0.06994328922495274
0.2,safety-refuse,0.9917840375586855,0.9753521126760564,0.9565727699530516,0.03521126760563387
0.2,safety-response,0.974386194131417,0.9361015841907562,0.6985138004246284,0.2758723937067886
0.25,chat,0.9715762273901808,0.8527131782945737,0.4728682170542635,0.4987080103359173
0.25,code,0.9137426900584794,0.8084795321637427,0.7309941520467836,0.18274853801169577
0.25,math,0.9590422180214241,0.9262759924385633,0.8890989287964713,0.06994328922495274
0.25,safety-refuse,0.9917840375586855,0.9753521126760564,0.9577464788732395,0.034037558685446
0.25,safety-response,0.9722494419946649,0.9361015841907562,0.7006369426751592,0.2716124993195057
